security_code,number_of_shares2
98960,30833859
98990,16038448
99000,26485062
99020,31403486
99030,7006365
99040,27204733
99060,8467770
99080,7847028
99090,875054
99130,8996425
99140,2286479
99190,31444012
99270,1093578
99280,30872776
99290,9642818
99300,18590826
99320,11057409
99340,27793079
99360,18757775
99410,1327466
99420,29442488
99430,16533571
99450,38288971
99460,28997733
99480,56247670
99500,2961857
99550,11558286
99560,53694268
99590,12380023
99600,13617142
99620,283632871
99660,4204566
74600,8262068
99670,1813150
99690,9603700
99720,16920398
99730,34720100
99740,20866900
99760,5385958
99770,5733760
99780,13976802
99790,20684078
99800,101294998
99820,9327347
99830,102050926
99840,1034789641
99860,6264673
99870,91272184
74880,5245463
99890,116893665
99900,29457036
99910,36397423
99920,6491619
99930,10890377
99940,10842105
99950,23913524
99960,8940792
99970,96913218
79020,3664964
82260,15119643
85150,483702954
89990,28857955
93580,43247313
13010,10819171
13050,2583005024
13060,5488517797
13080,2501550710
13090,131385
24380,16841059
24850,22403330
40610,86948758
44250,6906600
44260,999700
44270,8690558
56970,6044504
44280,1199400
46310,94646995
66940,2279906
67370,21320451
69470,23249689
48000,13902897
92320,14422201
13100,2603675
13110,2828986
13120,110120
13130,220400000
21960,11880055
65430,1931248
78790,16285268
80950,32579908
85720,1566614208
79230,5033247
79390,3724579
24170,3960301
